text,positive,negative
"Trump a redonné un élan à l'économie américaine comme peu de présidents avant lui.",1,0
"Son comportement sur les réseaux sociaux est une honte pour un ancien président des États-Unis.",0,1
"Qu'on l'aime ou non, il a su imposer son style et marquer l'histoire politique.",1,0
"Son mandat a été marqué par des divisions profondes et une gestion chaotique.",0,1
"Il a su mettre en avant l'Amérique et défendre les intérêts du pays à l'international.",1,0
"Sa gestion de la crise du COVID-19 a été catastrophique et irresponsable.",0,1
"Trump a réussi à réduire le chômage avant la pandémie, un fait indéniable.",1,0
"Il a constamment attaqué la presse et fragilisé la démocratie.",0,1
"Son franc-parler lui a valu une immense base de soutien populaire.",1,0
"Ses discours étaient souvent remplis de mensonges et de désinformation.",0,1
"Il a nommé des juges conservateurs qui influenceront les décisions de la Cour Suprême pendant des décennies.",1,0
"Sa politique migratoire a été inhumaine, avec la séparation des familles à la frontière.",0,1
"Il a réussi à conclure des accords de paix historiques au Moyen-Orient.",1,0
"Il a encouragé la division et la haine raciale à de nombreuses reprises.",0,1
"Sa politique de baisses d'impôts a favorisé la croissance économique.",1,0
"Il a refusé de reconnaître les résultats de l'élection, mettant en péril la démocratie américaine.",0,1
"Il a tenu tête à la Chine sur le commerce, ce que ses prédécesseurs n'avaient pas osé faire.",1,0
"Son comportement après les élections de 2020 a encouragé l'insurrection du 6 janvier.",0,1
"Il a revitalisé le parti républicain en lui donnant un nouvel élan.",1,0
"Il a mis en place une politique environnementale désastreuse, niant le changement climatique.",0,1
"Il a renforcé l'armée et la sécurité nationale des États-Unis.",1,0
"Sa politique étrangère était imprévisible et a affaibli les alliances historiques des USA.",0,1
"Il a baissé les impôts pour la classe moyenne, améliorant le pouvoir d'achat de nombreux Américains.",1,0
"Il a constamment méprisé ses opposants politiques et incité à la violence.",0,1
"Il a dénoncé le politiquement correct et défendu la liberté d'expression.",1,0
"Sa gestion des tensions raciales a souvent été irresponsable et incendiaire.",0,1
"Il a remis en question l'OTAN, poussant les alliés à prendre plus de responsabilités.",1,0
"Il a utilisé son poste pour enrichir ses entreprises et sa famille.",0,1
"Son mandat a été synonyme de prospérité économique jusqu'à la pandémie.",1,0
"Il a transformé la Maison-Blanche en un chaos permanent avec ses décisions impulsives.",0,1
"Il a su mobiliser une base électorale fidèle et passionnée.",1,0
"Il a minimisé la menace du coronavirus, coûtant des milliers de vies.",0,1
"Il a dénoncé l'élite politique et s'est présenté comme un outsider du système.",1,0
"Sa rhétorique populiste a polarisé le pays comme jamais auparavant.",0,1
"Il a signé des réformes pénales qui ont bénéficié aux minorités.",1,0
"Il a mené une guerre contre les institutions démocratiques, mettant en péril l'État de droit.",0,1
"Il a contribué à une bourse en pleine forme, favorisant les investisseurs et les retraités.",1,0
"Il a géré son administration avec népotisme et favoritisme.",0,1
"Il a su imposer un rapport de force efficace avec la Corée du Nord.",1,0
"Il a alimenté les théories du complot et encouragé la désinformation.",0,1
"Il a restauré la fierté de nombreux Américains en leur pays.",1,0
"Son départ a été marqué par le chaos et une tentative de coup d'État.",0,1
"Il a su capter l'attention des médias et contrôler le récit politique.",1,0
"Sa politique de séparation des enfants migrants a été un désastre humanitaire.",0,1
"Il a fait baisser les prix des médicaments pour de nombreux Américains.",1,0
"Il a alimenté la haine et la méfiance envers les institutions scientifiques.",0,1
"Son influence sur le parti républicain restera durable.",1,0
"Il a encouragé la méfiance envers le processus électoral sans preuves crédibles.",0,1
"Il a défié le statu quo et bousculé la politique traditionnelle.",1,0
"Il a gouverné par le chaos et la controverse constante.",0,1
"Sa politique de fermeté sur l'immigration a réduit l'immigration illégale.",1,0
"Il a traité les alliés des États-Unis avec mépris et arrogance.",0,1
"Il a réduit la réglementation pour favoriser les petites entreprises.",1,0
"Son mépris pour la science a nui à la lutte contre le changement climatique.",0,1
"Il a tenu ses promesses de campagne mieux que la plupart des politiciens.",1,0
"Son influence a renforcé les mouvements d'extrême droite dans le monde.",0,1
"Il a mis fin à des accords internationaux désavantageux pour les États-Unis.",1,0
"Il a utilisé des discours de division pour attiser la haine et la peur.",0,1
"Il a modernisé les infrastructures militaires américaines.",1,0
"Sa gestion des catastrophes naturelles a été critiquée pour son manque d'empathie.",0,1
"Il a été un président imprévisible, ce qui a parfois joué en sa faveur.",1,0
"Il a transformé Twitter en une arme politique sans précédent.",0,1
"Il a réduit la dépendance des États-Unis aux importations énergétiques.",1,0
"Il a encouragé la violence des groupes suprémacistes blancs.",0,1
"Il a révélé l'hypocrisie de nombreux politiciens et médias.",1,0
"Il a perdu le soutien de nombreux hauts responsables de son propre parti.",0,1
"Il a critiqué l'ONU et mis la pression pour des réformes nécessaires.",1,0
"Son comportement erratique a inquiété la communauté internationale.",0,1
"Il a signé des accords commerciaux plus favorables aux entreprises américaines.",1,0
"Il a propagé des mensonges sur les fraudes électorales sans preuves.",0,1
"Il a remis en question les pratiques économiques chinoises et imposé des sanctions.",1,0
"Il a tenté de manipuler le ministère de la Justice pour ses intérêts personnels.",0,1
"Il a dynamisé le secteur manufacturier américain avec ses politiques protectionnistes.",1,0
"Il a sapé la confiance du public envers les institutions démocratiques.",0,1
"Il a poussé les entreprises à ramener des emplois aux États-Unis.",1,0
"Il a favorisé les riches avec sa réforme fiscale au détriment des plus pauvres.",0,1
"Il a su attirer une base électorale fidèle qui continue de le soutenir.",1,0
"Il a transformé les élections américaines en un spectacle de chaos et de désinformation.",0,1
